time,sample,Ct
0,STD 10^2,31.3
0,STD 10^2,31.58
0,STD 10^2,31.54
0,STD 10^2,31.4
0,STD 10^2,31.43
0,STD 10^1,35.19
0,STD 10^1,34.46
0,STD 10^1,34.92
0,STD 10^1,34.56
0,STD 10^1,35.2
0,STD 10^0,37.99
0,STD 10^0,38.83
0,STD 10^0,39.35
0,STD 10^0,37.69
0,STD 10^0,36.98
0,NTC,NA
24 hr,STD 10^2,31.59
24 hr,STD 10^2,31.37
24 hr,STD 10^2,31.49
24 hr,STD 10^2,31.14
24 hr,STD 10^2,31.34
24 hr,STD 10^1,34.76
24 hr,STD 10^1,34.9
24 hr,STD 10^1,35.21
24 hr,STD 10^1,35.49
24 hr,STD 10^1,34.74
24 hr,STD 10^0,37.76
24 hr,STD 10^0,38.5
24 hr,STD 10^0,39.77
24 hr,STD 10^0,37.94
24 hr,STD 10^0,37.69
24 hr,NTC,NA
48 hr,STD 10^2,31.38
48 hr,STD 10^2,31.41
48 hr,STD 10^2,31.34
48 hr,STD 10^2,31.49
48 hr,STD 10^2,31.56
48 hr,STD 10^1,34.53
48 hr,STD 10^1,34.76
48 hr,STD 10^1,34.8
48 hr,STD 10^1,34.96
48 hr,STD 10^1,34.5
48 hr,STD 10^0,39.23
48 hr,STD 10^0,37.81
48 hr,STD 10^0,41.07
48 hr,STD 10^0,39.15
48 hr,STD 10^0,38.66
48 hr,NTC,NA
