sample,assay_site,ct_value,dna_conc,,
STD High,Field,10.4,NA,,
STD High,Field,10.5,NA,,
STD High,Field,NA,NA,,
STD High,Lab,9.89,NA,,
STD High,Lab,9.87,NA,,
STD High,Lab,9.87,NA,,
STD Low,Field,35.6,NA,,
STD Low,Field,30.7,NA,,
STD Low,Field,NA,NA,,
STD Low,Lab,34.58,NA,,
STD Low,Lab,34.33,NA,,
STD Low,Lab,34.83,NA,,
S1 (Field),Field,28.9,110,,
S1 (Field),Field,29,110,,
S1 (Field),Field,28.8,110,,
S1 (Field),Lab,27.81,110,,
S1 (Field),Lab,27.67,110,,
S1 (Field),Lab,27.68,110,,
S1 (Lab),Field,NA,97.8,,
S1 (Lab),Field,NA,97.8,,
S1 (Lab),Field,NA,97.8,,
S1 (Lab),Lab,28.14,97.8,,
S1 (Lab),Lab,28.13,97.8,,
S1 (Lab),Lab,28.21,97.8,,
S2 (Field),Field,29.6,114,,
S2 (Field),Field,29.6,114,,
S2 (Field),Field,29.5,114,,
S2 (Field),Lab,28.41,114,,
S2 (Field),Lab,28.22,114,,
S2 (Field),Lab,28.19,114,,
S2 (Lab),Field,NA,120,,
S2 (Lab),Field,NA,120,,
S2 (Lab),Field,NA,120,,
S2 (Lab),Lab,28.96,120,,
S2 (Lab),Lab,28.95,120,,
S2 (Lab),Lab,29.06,120,,
S3 (Field),Field,NA,118,,
S3 (Field),Field,NA,118,,
S3 (Field),Field,NA,118,,
S3 (Field),Lab,28.3,118,,S3 (Lab)
S3 (Field),Lab,28.31,118,,
S3 (Field),Lab,28.37,118,,
S3 (Lab),Field,NA,106,,
S3 (Lab),Field,NA,106,,
S3 (Lab),Field,NA,106,,
S3 (Lab),Lab,27.88,106,,
S3 (Lab),Lab,27.92,106,,
S3 (Lab),Lab,27.99,106,,
Field Neg (Field),Field,0,0.516,,
Field Neg (Field),Field,0,0.516,,
Field Neg (Field),Field,NA,0.516,,
Field Neg (Field),Lab,0,0.516,,
Field Neg (Field),Lab,0,0.516,,
Field Neg (Field),Lab,0,0.516,,
Field Neg (Lab),Field,NA,0.546,,
Field Neg (Lab),Field,NA,0.546,,
Field Neg (Lab),Field,NA,0.546,,
Field Neg (Lab),Lab,0,0.546,,
Field Neg (Lab),Lab,0,0.546,,
Field Neg (Lab),Lab,0,0.546,,
Extr. Neg (Field),Field,0,0,,
Extr. Neg (Field),Field,0,0,,
Extr. Neg (Field),Field,NA,0,,
Extr. Neg (Field),Lab,0,0,,
Extr. Neg (Field),Lab,0,0,,
Extr. Neg (Field),Lab,0,0,,
Extr. Neg (Lab),Field,NA,0,,
Extr. Neg (Lab),Field,NA,0,,
Extr. Neg (Lab),Field,NA,0,,
Extr. Neg (Lab),Lab,0,0,,
Extr. Neg (Lab),Lab,0,0,,
Extr. Neg (Lab),Lab,0,0,,
NTC,Field,0,NA,,
NTC,Field,0,NA,,
NTC,Field,0,NA,,
NTC,Lab,0,NA,,
NTC,Lab,0,NA,,
NTC,Lab,0,NA,,
